Site Name,Address,"Category
BCR=Bar, Club, or Restraurant
R=Residence
PV=Performance Avenue
CEI=Cultural or Educational Institutions
OCS=Organization or Community Spaces
        PS=Public Spaces       
SB=Store or Business ","Status
(Y=Existent; N=Non-Existent)","Cultural
Specifier
 Needed
(Y=yes; N=no)",Source Index
Evan Wolfson Residence,101 WEST 12TH STREET,R,Y,G,2
"Roberta ""Robbie"" Kaplan Residence",37 WEST 12TH STREET,R,Y,Y,2
Jerry Hoose House,130 CHRISTOPHER STREET,R,Y,G,5
Edna St. Vincent Millay Residence,2 BEDFORD STREET,R,Y,G,5
Margaret Mead House,2 BEDFORD STREET,R,Y,G,5
Willa Cather - Edith Lewis Apartment,570 PARK AVENUE,R,Y,G,5
Lee G. Brewster's Mardi Gras Boutique,400 WEST 14TH STREET,SB,Y,G,1
Labyris,33 BARROW STREET,SB,Y,G,1
Djuna Books,154 WEST 10TH STREET,SB,Y,YG,1
Oscar Wilde Memorial Bookshop,15 CHRISTOPHER STREET,SB,Y,Y,1
Antonio Lopez & Juan Ramos Studio,31 UNION SQUARE WEST,SB,Y,G,1
Keith Haring Studio & Foundation,676 BROADWAY,SB,Y,G,1
Louis Sullivan & the Bayard-Condict Building,67 BLEECKER STREET,SB,Y,G,1
Columbia Hall,32 COOPER SQUARE,SB,Y,YG,2
Paresis Hall,32 COOPER SQUARE,SB,Y,Y,2
Harmony Video,679 GREENWICH STREET,SB,Y,YG,3
Golden Rabbit Inc,513-515 HUDSON STREET,SB,Y,G,3
PJ Boutique,37 GREENWICH AVENUE,SB,Y,YG,3
Art and Ice Cream Gallery,548 HUDSON STREET,SB,Y,G,3
A Different Light Bookstore,548 HUDSON STREET,SB,Y,G,3
8th Street Playhouse,58 WEST 8TH STREET,SB,Y,Y,3
Van Rensselaer Hotel,15 EAST 11TH STREET,SB,Y,Y,3
Judith's Room,681 WASHINGTON STREET,SB,Y,N,4
Hotel Albert,23 EAST 10TH STREET,SB,Y,YG,6
Hotel Earle,103 WAVERLY PL AT 11TH STREET,SB,Y,YG,6
Marlton Hotel,5 WEST 8TH STREET,SB,Y,YG,6
